,M,T,W,R,F,Tmax,Tmin,FeelsLike,Precipitation,WindSpeed,CloudCover,RelativeHumidity,Demand
255,1,0,0,0,0,82.6,70.2,85.9,0.58,12.8,67.5,83.84,920.0
256,0,1,0,0,0,82.3,69.6,83.7,0.0,5.5,67.4,80.26,318.0
257,0,0,1,0,0,82.6,69.7,86.3,0.25,4.6,71.3,86.65,1005.0
258,0,0,0,1,0,82.8,70.1,87.7,0.29,5.3,60.9,87.33,336.0
259,0,0,0,0,1,86.8,70.4,92.4,0.14,14.2,55.2,85.54,1002.0
260,1,0,0,0,0,86.9,68.9,90.6,0.02,18.8,61.1,84.03,946.0
261,0,1,0,0,0,85.1,69.5,86.7,0.15,12.1,59.4,79.68,298.0
262,0,0,1,0,0,79.2,58.0,68.6,0.0,6.9,36.3,69.77,1016.0
263,0,0,0,1,0,81.8,53.0,80.7,0.0,4.0,10.1,72.15,355.0
264,0,0,0,0,1,83.0,56.4,82.4,0.0,7.0,10.5,74.34,1045.0
265,1,0,0,0,0,86.7,58.2,86.1,0.0,6.6,14.9,71.69,1048.0
266,0,1,0,0,0,84.5,62.0,85.7,0.01,8.2,51.7,75.74,319.0
267,0,0,1,0,0,86.6,63.3,89.2,0.01,5.5,37.0,78.45,1111.0
268,0,0,0,1,0,89.5,65.1,92.8,0.15,6.8,36.6,79.7,341.0
269,0,0,0,0,1,83.1,69.5,86.1,0.19,10.8,55.5,79.56,948.0
270,1,0,0,0,0,85.2,68.0,87.4,0.32,6.5,68.4,80.32,1040.0
271,0,1,0,0,0,81.1,64.9,82.8,0.03,8.4,57.1,80.47,321.0
272,0,0,1,0,0,78.1,60.6,67.9,0.0,11.5,40.7,74.9,975.0
273,0,0,0,1,0,79.3,55.4,66.4,0.0,6.6,31.6,75.1,368.0
274,0,0,0,0,1,69.4,62.9,65.8,0.84,5.9,64.2,91.18,952.0
275,1,0,0,0,0,71.8,55.7,64.6,0.0,9.6,67.7,80.41,940.0
